width,height,files_on_disk,cache_html_occurrences,sql_mentions
150,150,788,0,3837
1536,2048,66,0,302
225,300,15,0,75
300,200,11,0,52
343,200,10,0,45
768,448,10,0,45
768,512,10,0,47
1024,597,10,0,45
300,157,9,0,45
768,402,8,0,40
1024,683,8,0,44
1536,1024,8,0,37
300,300,7,0,41
200,200,6,0,27
300,226,6,0,30
576,1024,6,0,49
768,1365,6,0,28
864,1536,6,0,28
1152,2048,6,0,28
2048,1365,6,0,27
212,300,5,0,40
768,1090,5,0,24
113,200,4,0,18
150,137,4,0,18
300,52,4,0,20
300,194,4,0,20
345,182,4,0,18
768,132,4,0,20
768,405,4,0,18
768,768,4,0,21
1024,176,4,0,20
1024,536,4,0,48
1024,540,4,0,25
1536,264,4,0,20
1536,810,4,0,18
150,71,3,0,21
150,86,3,0,15
185,119,3,0,12
211,300,3,0,15
228,300,3,0,15
300,125,3,0,15
300,145,3,0,15
300,183,3,0,15
300,184,3,0,15
300,191,3,0,15
300,250,3,0,15
768,362,3,0,14
768,388,3,0,14
768,489,3,0,15
768,496,3,0,15
1024,482,3,0,21
1024,537,3,0,29
1024,651,3,0,15
1024,661,3,0,15
1536,992,3,0,15
2048,1322,3,0,15
99,200,2,0,9
150,54,2,0,9
169,300,2,0,10
174,200,2,0,9
190,200,2,0,9
200,300,2,0,10
204,300,2,0,10
210,300,2,0,20
213,300,2,0,10
221,200,2,0,9
229,200,2,0,9
262,200,2,0,9
276,200,2,0,9
278,200,2,0,9
300,134,2,0,10
300,135,2,0,10
300,174,2,0,10
300,196,2,0,10
300,260,2,0,10
301,200,2,0,9
306,200,2,0,9
345,82,2,0,9
345,163,2,0,9
345,166,2,0,9
345,174,2,0,9
345,192,2,0,9
509,1024,2,0,16
768,344,2,0,10
768,369,2,0,9
768,372,2,0,10
768,428,2,0,9
768,431,2,0,9
768,468,2,0,10
768,502,2,0,9
768,503,2,0,10
768,510,2,0,9
768,553,2,0,9
768,556,2,0,9
768,586,2,0,9
768,639,2,0,10
768,672,2,0,9
768,694,2,0,9
768,810,2,0,9
970,1024,2,0,16
1024,459,2,0,10
1024,492,2,0,16
1024,496,2,0,10
1024,518,2,0,9
1024,565,2,0,16
1024,571,2,0,16
1024,575,2,0,16
1024,624,2,0,17
1024,670,2,0,16
1024,680,2,0,16
1024,737,2,0,16
1024,741,2,0,16
1024,767,2,0,16
1024,781,2,0,9
1024,925,2,0,16
1024,1024,2,0,9
1536,688,2,0,10
1536,777,2,0,9
1536,856,2,0,9
1536,863,2,0,9
1536,1005,2,0,9
1536,1105,2,0,9
1536,1111,2,0,9
1536,1387,2,0,9
2048,1036,2,0,9
2048,1340,2,0,9
2048,1474,2,0,9
2048,1482,2,0,9
75,300,1,0,5
106,150,1,0,5
216,300,1,0,10
221,300,1,0,5
229,300,1,0,10
235,300,1,0,5
239,300,1,0,6
242,300,1,0,5
243,300,1,0,5
255,1024,1,0,5
273,300,1,0,5
276,300,1,0,5
297,300,1,0,5
300,64,1,0,5
300,78,1,0,5
300,85,1,0,5
300,95,1,0,5
300,96,1,0,5
300,97,1,0,5
300,101,1,0,5
300,104,1,0,5
300,112,1,0,5
300,130,1,0,5
300,141,1,0,5
300,146,1,0,5
300,148,1,0,5
300,151,1,0,5
300,171,1,0,5
300,175,1,0,6
300,180,1,0,5
300,197,1,0,5
300,201,1,0,5
300,210,1,0,5
300,212,1,0,5
300,213,1,0,5
300,223,1,0,5
300,228,1,0,5
300,240,1,0,5
300,244,1,0,7
300,258,1,0,5
300,263,1,0,5
300,271,1,0,5
300,277,1,0,5
300,278,1,0,5
300,291,1,0,5
345,200,1,0,5
382,1536,1,0,5
510,2048,1,0,5
753,1024,1,0,12
768,165,1,0,5
768,218,1,0,5
768,242,1,0,5
768,246,1,0,5
768,248,1,0,5
768,259,1,0,5
768,266,1,0,5
768,286,1,0,5
768,319,1,0,5
768,320,1,0,5
768,321,1,0,5
768,370,1,0,5
768,380,1,0,5
768,403,1,0,5
768,444,1,0,5
768,447,1,0,6
768,460,1,0,5
768,470,1,0,5
768,504,1,0,5
768,544,1,0,5
768,580,1,0,5
768,624,1,0,7
768,640,1,0,5
768,948,1,0,5
768,953,1,0,5
768,963,1,0,6
768,978,1,0,5
768,1006,1,0,10
768,1044,1,0,5
768,1069,1,0,5
768,1088,1,0,5
768,1099,1,0,5
768,3084,1,0,5
804,1024,1,0,12
817,1024,1,0,6
825,1024,1,0,12
829,1024,1,0,12
1024,220,1,0,5
1024,290,1,0,5
1024,323,1,0,5
1024,328,1,0,5
1024,331,1,0,5
1024,346,1,0,12
1024,354,1,0,5
1024,381,1,0,5
1024,425,1,0,5
1024,427,1,0,5
1024,428,1,0,5
1024,494,1,0,12
1024,507,1,0,5
1024,517,1,0,5
1024,592,1,0,13
1024,596,1,0,6
1024,614,1,0,5
1024,627,1,0,5
1024,672,1,0,5
1024,725,1,0,5
1024,832,1,0,7
1024,853,1,0,12
1244,1536,1,0,5
1536,329,1,0,5
1536,435,1,0,5
1536,484,1,0,5
1536,492,1,0,5
1536,497,1,0,5
1536,519,1,0,5
1536,531,1,0,5
1536,572,1,0,5
1536,640,1,0,5
1536,723,1,0,5
1536,740,1,0,5
1536,760,1,0,5
1536,806,1,0,5
1536,888,1,0,5
1536,1008,1,0,5
1659,2048,1,0,5
2048,352,1,0,5
2048,853,1,0,5
2048,1184,1,0,5
2048,1366,1,0,5
